,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0_30000_30,0.0004695600254586671,-0.011324335286618113,-0.0004408768266120831,0.004599189577090127,-0.0049483825727391125,-0.0046670875447114195,0.0027274663447861757,0.01921544409899364,-0.002511134937193998,-0.008696861495182923,5.3720416729574846e-05,0.011042636762190016,0.0025067867552635075,-0.0037899913116701362,0.008472531025092008,0.004128328374384002,-0.002556606276376898,0.006229302255018495,0.008220096513229278,0.003918287423425187,0.003320157595287802,-0.005640740452046181,-0.00781461244892227,0.0021320569863111176,-0.01289323602690416,-0.0036969385388918217,0.009675126197078684,0.011178740202021538,-0.0003202360857997132,-0.006860072155036593,-0.008351799582851708,-0.0010762504314806404,-0.009699247768595229,0.009257524725611527,-0.01810556052742297,-0.007881962023441847,-0.015434132437730591,-0.0018782009931863828,0.0018902810756115929,0.005601947039469272,0.005656824684154863,-0.01808024150082121,-0.00598191467975687,-0.0013954887479338445,0.009041911356699317,0.004694374874996873
0_45000_30,-0.0010053874896206667,-0.01242359300632281,-0.002271380682780398,0.02387932424491808,-0.007338699531385065,-0.0015172911590661184,-0.0014610332072099495,0.009324804626616452,-0.009416469962988498,0.005440511460125081,-0.017473129324295133,0.004916065876574215,0.0002045649461850408,-0.005671880966232202,0.012224800037715448,-0.001269051556403365,-0.0025257852067377684,0.002556939773649223,0.01397705071430464,0.00942188003644751,-0.001951246332356677,-0.013154489132831416,0.0016772524669593151,-0.015979202720894013,-0.007732027333542776,-0.004726644656676887,-0.004201567761849894,-0.001398410888739267,-0.0016271066242142488,-0.01284107395050801,0.010811644861616414,-0.009919066847730168,0.001601731171512439,0.014807123187551124,-0.009380220209121208,0.00045435239939109646,-0.006264949003742067,0.0018869456757703135,-0.0047003360483828015,0.00043879511348236463,0.007003418623263815,-0.0013759647823480988,-0.0006323500972162752,-0.004253346651013636,0.005343586487417529,-0.0009762914562452247
1_250_5,-0.004020002027527295,-0.0016966762662045593,0.000818777338963159,0.0005534045126322436,-0.0007076802065569983,-0.00020634419738204768,-0.0005796067121893854,0.000880306641652222,-0.005212822322132332,0.010614380385202493,-0.0011047191478929478,0.015470636803700857,-0.0010571183287596093,-0.0010171098312816923,0.0012658403973249805,0.0008114091484440995,0.00043022968335188557,0.00011532893127603668,0.00300041317011875,0.0006867342609138641,0.0036000673284630512,-0.0008463038083909829,-0.015934914466774374,-0.006738378054448734,-0.001843563220798306,-0.0076199690902466095,-0.0019346967268561003,-0.003081372607188092,0.0005643915465293413,-0.007776168619312571,-0.0029740048770815395,-0.0004395128617516347,-0.0007002838632297453,-0.0011356984906751614,-0.00020900516036561565,-0.001110348234739935,-0.0019725853236908985,-0.001059203049284069,-0.0008228620627858339,-0.0016642573259975978,0.002656809848313618,-0.00114734598597391,-0.0039320010046330674,-0.0020926779657006117,-0.0007689112967127557,0.0015208392723296102
1_500_5,-0.0011050751736214808,-0.0012714921981919628,-0.0012853926610545366,-0.0008839856702938369,0.001416888945808798,-0.0035838435179919043,-0.0019290648954204742,-0.0018280347529094818,0.004820800845222145,0.017899295450943067,0.0030469591560736507,0.007851468285889052,0.002077603264115111,2.607481144877541e-05,0.0036852715991853692,0.0006792278743578381,-0.00042961960974891657,0.0027714372858341162,-0.0001664043911453564,0.0004128425210984342,-0.002612725747525169,-0.004490284768755949,0.0015979796732376703,-0.00102156789680976,-0.0016871055544721194,0.0031045840645428213,0.0029992255103363902,-0.00014492214868954597,-0.008343224103451945,-0.007274273756220623,-0.002243061062735476,-0.0002340836905301204,0.0003348918865172039,6.0723382562555285e-05,-0.006990624894483558,-0.0013718670853303861,-0.009745636487340843,-0.0010893868112186115,-0.00024237341712283125,-0.0011060478248800661,-0.0013425266724773936,-0.002418457972852602,-0.0015548140663166734,-0.0017636545374047857,-0.0006290969201958359,-0.0011767515193918747
1_1500_5,-0.002522957142279012,-0.0021548710127966813,-0.00649391601543416,0.0004664129854558618,0.0045803676979144,-0.002660831758340414,-0.006842214190953514,-0.001543223116356934,0.016532986927625292,0.004164065856344241,0.0007570919559329578,-0.007705362277163789,-0.0005246945227954929,0.0027234863557078757,-0.0009557772564910509,0.001306078310054967,0.008275434121150624,0.011899758274937944,0.0009940809171983592,0.0029811936348345678,-0.001267293607425865,0.0009991396752090321,-0.012013620894735571,-0.004961731480607238,-0.0031760626106312083,-0.007443660027962188,0.00014304999926881723,-0.007302585065411618,0.0036196705684826552,0.00033578661034893857,0.014300451253119847,-0.0018786620610473199,-0.006514202069588273,0.0011172963562473596,0.0017881234283400875,0.011488915252862707,-0.01616738900357678,-0.0041990956441325025,-0.003989207948587214,-0.00737312038922719,-0.0004015817282095187,-0.007621324311884121,-0.00848630688522752,-0.0036168488488587335,0.0006929502395526428,-0.004433935650701852
1_2500_5,-0.002453818175006756,-0.0003135859354433427,-0.004525027213181429,-0.0036430122974629798,-0.008421674679067348,0.006679339105298632,-0.003038970241398856,0.002842737277493052,-0.005947141833435904,0.019457503011664455,0.009851231508921473,0.013863116277742617,0.0017236579327227516,0.002160684829303884,0.0007258145737747343,0.0024271150562028064,0.004546402262189814,0.007260706226110148,0.00403318310962165,0.0075384577622424976,-0.008313270588345254,-0.004829518123578317,-0.001460507693380901,-0.026669273164565972,-0.0006953627316084321,-0.010446262203882062,0.03656249650865033,-0.007456134944866706,-0.04238785799190421,-0.014688907123681268,0.0036152940979342083,-0.0057302270824106495,-0.009615441516088346,-0.008432729401505698,0.024198299720251157,-0.015410373430515297,0.018801356840965736,-0.012609007824294242,-0.002895328148965854,-0.0009150081709351236,-0.0006468336967207742,-0.008783668536167256,-0.0023310653840756374,0.0008608557704645978,-0.0006173468351683339,-7.032915565977569e-05
1_5000_5,-0.0015980466390410758,-0.0001580529929390162,-0.004319211580710061,0.0021050065667375796,-0.0038179241785765137,-0.003043300332202056,-0.010319857600592114,0.005178688300042864,-0.011765450888241732,0.001351397926011435,-0.00442913187453444,0.020491296221459485,0.001764363602637198,-0.00025488672388942736,0.009166339476608644,0.0023780554932579206,0.002929717542900758,0.004895295088940221,0.010094910413927283,0.009229699706913157,-0.010143015961763651,-0.007358146772131002,0.0030768831238025523,0.00840250910308013,-0.0038206695701176355,0.024945718698335673,0.017750782224678248,-0.007939870837898958,-0.030531533181280976,-0.011227847234937463,-0.009651056844096732,-0.02406676186760674,-0.009460115314566166,-0.002814133756136975,0.009900205560894234,0.0026966941209021263,-0.016538098273785627,-0.0048151694675967185,-0.002468314585022638,-0.009454009857420216,-0.003887304698959075,-0.0038277727932664704,0.011148773363683721,-0.005347977216461746,-0.001511025759057966,0.016898113745005435
1_7500_5,-0.00297441300286681,0.0022583347322787965,-0.00417390481616141,0.001313749252663615,-0.0006798989306597581,-0.00047451665389775454,-0.00435275148180001,-0.005450289778800512,0.002962777733038005,0.005134499117261484,0.0015888131238390515,0.02028720544477848,0.0032011889288487026,0.0014721821943867257,0.0032503648303312325,0.004837957856776311,0.0031650211497905286,0.0007156011677643768,0.00985727822447404,0.004316405489916059,-0.010781881639161378,-0.0032143624135267754,0.0068414281959609064,0.003438120056959059,0.0030150006276602396,0.020932104501953683,0.01644487437352897,-0.012694450865451774,-0.06308194038337951,-0.005666264046809929,-0.015052162242443878,-0.021270228903101505,-0.0038232215397587827,-0.003029585646043794,0.005020696064195356,-0.0006294979292439155,-0.0029211433768722233,-0.011925195691361957,0.005365307698058843,-0.000863916632723456,-0.001058756682095957,-0.003919152290310954,0.0005643269432319069,-0.004501548521199615,-0.0026634913892026038,0.015622997353349587
1_1500_30,-0.0007430839595080609,-0.0008152000415903117,-0.0001640630745732998,-3.86145916831466e-05,-0.0029380613089089263,-0.001807089013797718,-0.0002642108035520377,0.0002330497895052504,0.00010929586210747584,-0.0036290063567979637,-0.007334425309157523,-0.010251030993915718,0.000951593486176639,0.000917017141348319,0.002889203271668729,0.0026040279579762327,0.0006553664467099991,0.0009969595921612148,0.0031537484863826057,0.002899909165533751,-0.0021227573992383614,-0.0029062173526578222,-0.001331845529671471,-0.00464543613588371,-0.0016677931033997596,0.010693205833132734,0.04130088030378684,-0.0013587212728359166,-0.0064675879107760105,-0.0011236866826722135,-0.001489934896934809,-7.853023811182311e-05,-0.0005106812813007831,-0.0018562244185098148,-0.00035869030310182483,0.0009160191311405387,-0.0032541738994856665,-0.0010846022240284389,-0.00043283610647383027,9.224742028186373e-05,7.451955645921144e-05,-0.0022245936258484785,-0.0017302576839783568,-0.0005292844717430669,-0.0003590075310333669,-0.003056003330035798
1_3000_30,-0.002904047146101089,-0.001280355150129793,-0.0010289000041251385,0.00014864792406529844,-0.002266284990857552,-0.0004841570916941556,-1.9551348125611847e-05,0.0018133642549709337,-0.001065672855556994,-0.010152019995913154,-0.01917815853420324,-0.009871134857997,0.0008012764884606267,-0.0004124263730998459,0.007030284821007436,0.004195125828203142,0.004022749880810628,0.002506925362542443,0.007729931917099244,0.007227470142171429,0.001803562918769076,-0.0001877834069867757,-0.0004259233124638081,-0.010750947557423824,-0.005968882950527488,0.01352871161587956,0.015563581225770982,-0.001779548086546156,-0.005867777924730794,0.002078954138625877,0.0007557457957934806,0.0006193221930035361,-0.003808662750561367,0.0032696397479477645,0.0002363455279681883,0.0029935074638995623,4.204540079954609e-05,-0.001192892103882312,-0.0013114941987579845,-0.00047282666312214506,0.00016076977501994292,-0.00342966766896991,-0.0018970928542639638,-0.0017567075183529564,-0.0003203984357546963,0.0028908870901570706
