,modAlgo,conf,dim,budget,train_r2,test_r2,train_mse,test_mse
10092,modDE,517,5,250,0.0,-0.01468137854271454,3.5807900245714634,3.593357449386609
10093,modDE,517,5,500,0.0,-9.039087901392406e-05,4.680370945989013,4.680539736556158
10094,modDE,517,5,1500,0.0,-0.00042940126698516324,8.440197290300821,8.441649631443997
10095,modDE,517,5,2500,0.0,-0.0003707143117594125,8.972078951350673,8.97343351847242
10096,modDE,517,5,5000,0.0,-0.0009392228070844944,9.881579101855504,9.885638972360995
10097,modDE,517,5,7500,0.0,-0.0016702197727561873,9.982475629044991,9.989271988415293
10098,modDE,517,30,1500,0.0,-7.228112521455721e-05,2.5291385115670777,2.5292111159089363
10099,modDE,517,30,3000,0.0,-9.272523891921126e-05,2.382926152862222,2.383014177126576
10100,modDE,517,30,9000,0.0,-5.016171497858046e-05,6.975454941188175,6.975594876200316
10101,modDE,517,30,15000,0.0,-2.3904641599470367e-05,10.369508336988437,10.36960725420347
10102,modDE,517,30,30000,0.0,-1.0849552903513527e-05,10.595015716382026,10.595061738857012
10103,modDE,517,30,45000,0.0,-2.9202532409566828e-05,10.89046740836712,10.890595338498917
10104,modDE,518,5,250,0.0,-0.0009460348062716228,2.1067063768756737,2.1075092926633006
10105,modDE,518,5,500,0.0,-0.007398529669732668,2.8501062191312445,2.8608424455928914
10106,modDE,518,5,1500,0.0,-0.00020139204127151978,5.16538144561463,5.16579920813181
10107,modDE,518,5,2500,0.0,-0.00012966188197922613,4.783682952039643,4.783927336061525
10108,modDE,518,5,5000,0.0,-0.0003113960415559447,4.381182853437158,4.381724998658363
10109,modDE,518,5,7500,0.0,-0.0003088158170821309,4.540388200567754,4.54094867204651
10110,modDE,518,30,1500,0.0,-6.975593921079159e-05,3.5603430761039037,3.5604425932266586
10111,modDE,518,30,3000,0.0,-9.898573105271424e-05,3.289968152881549,3.290100698985904
10112,modDE,518,30,9000,0.0,-0.00014238589074415663,2.6551336050152035,2.655284598411673
10113,modDE,518,30,15000,0.0,-0.00017351409590591338,2.472989123103085,2.4731610591389255
10114,modDE,518,30,30000,0.0,-0.00014518391940678831,3.1066582292423233,3.106839297334287
10115,modDE,518,30,45000,0.0,-9.933553058818489e-05,6.62982791880292,6.63009362871013
10116,modDE,519,5,250,0.0,-0.0046996381751089,4.341389403346938,4.346076307422195
10117,modDE,519,5,500,0.0,-1.2895265353796147e-05,4.489504841291415,4.489527949899539
10118,modDE,519,5,1500,0.0,-0.0002827149470586487,8.037468742115072,8.03836910984061
10119,modDE,519,5,2500,0.0,-0.00014623439461649567,8.306012768232112,8.30649863596559
