"","DIM","funcId","ID","runtime","run","f(x)","instance"
"314",5,10,"conf_125",500,3,64.1778266013,2
"315",5,10,"conf_125",1500,3,0.0410240443,2
"316",5,10,"conf_125",2500,3,9e-10,2
"317",5,10,"conf_125",5000,3,9e-10,2
"318",5,10,"conf_125",7500,3,9e-10,2
"319",5,10,"conf_125",250,4,302.1259125561,2
"320",5,10,"conf_125",500,4,21.6667723353,2
"321",5,10,"conf_125",1500,4,0.0016379624,2
"322",5,10,"conf_125",2500,4,2e-10,2
"323",5,10,"conf_125",5000,4,2e-10,2
"324",5,10,"conf_125",7500,4,2e-10,2
"325",5,10,"conf_125",250,5,6316.5488855022,2
"326",5,10,"conf_125",500,5,1370.504812188,2
"327",5,10,"conf_125",1500,5,14.7432002488,2
"328",5,10,"conf_125",2500,5,2.3e-09,2
"329",5,10,"conf_125",5000,5,6e-10,2
"330",5,10,"conf_125",7500,5,6e-10,2
"331",5,10,"conf_125",250,6,146.7096979899,2
"332",5,10,"conf_125",500,6,13.8800941452,2
"333",5,10,"conf_125",1500,6,1.2033637217,2
"334",5,10,"conf_125",2500,6,1.1e-09,2
"335",5,10,"conf_125",5000,6,5e-10,2
"336",5,10,"conf_125",7500,6,5e-10,2
"337",5,10,"conf_125",250,7,2233.2118542947,2
"338",5,10,"conf_125",500,7,93.2783862992,2
"339",5,10,"conf_125",1500,7,0.1293255754,2
"340",5,10,"conf_125",2500,7,9e-10,2
"341",5,10,"conf_125",5000,7,9e-10,2
"342",5,10,"conf_125",7500,7,9e-10,2
"343",5,10,"conf_125",250,8,1168.2352433006,2
"344",5,10,"conf_125",500,8,812.9950974878,2
"345",5,10,"conf_125",1500,8,1.2253868721,2
"346",5,10,"conf_125",2500,8,5e-10,2
"347",5,10,"conf_125",5000,8,5e-10,2
"348",5,10,"conf_125",7500,8,5e-10,2
"349",5,10,"conf_125",250,9,678.196424485,2
"350",5,10,"conf_125",500,9,587.5848779309,2
"351",5,10,"conf_125",1500,9,16.1348956301,2
"352",5,10,"conf_125",2500,9,1.631e-07,2
"353",5,10,"conf_125",5000,9,5e-10,2
"354",5,10,"conf_125",7500,9,5e-10,2
"355",5,10,"conf_125",250,10,209.8104992217,2
"356",5,10,"conf_125",500,10,65.7698847161,2
"357",5,10,"conf_125",1500,10,0.220615105,2
"358",5,10,"conf_125",2500,10,6e-10,2
"359",5,10,"conf_125",5000,10,6e-10,2
"360",5,10,"conf_125",7500,10,6e-10,2
"361",5,10,"conf_125",250,11,2081.9751175161,5
"362",5,10,"conf_125",500,11,682.2433901286,5
"363",5,10,"conf_125",1500,11,2.0090150757,5
"364",5,10,"conf_125",2500,11,4e-10,5
"365",5,10,"conf_125",5000,11,4e-10,5
"366",5,10,"conf_125",7500,11,4e-10,5
"367",5,10,"conf_125",250,12,4213.0810948905,5
"368",5,10,"conf_125",500,12,320.6946606625,5
"369",5,10,"conf_125",1500,12,0.1253315055,5
"370",5,10,"conf_125",2500,12,5e-10,5
"371",5,10,"conf_125",5000,12,5e-10,5
"372",5,10,"conf_125",7500,12,5e-10,5
"373",5,10,"conf_125",250,13,1465.3501052038,5
"374",5,10,"conf_125",500,13,5.2847819916,5
"375",5,10,"conf_125",1500,13,0.0169170317,5
"376",5,10,"conf_125",2500,13,7e-10,5
"377",5,10,"conf_125",5000,13,7e-10,5
"378",5,10,"conf_125",7500,13,7e-10,5
"379",5,10,"conf_125",250,14,2062.968143682,5
"380",5,10,"conf_125",500,14,17.5280813508,5
"381",5,10,"conf_125",1500,14,0.2029135617,5
"382",5,10,"conf_125",2500,14,1e-09,5
"383",5,10,"conf_125",5000,14,1e-09,5
"384",5,10,"conf_125",7500,14,1e-09,5
"385",5,10,"conf_125",250,15,797.3663767215,5
"386",5,10,"conf_125",500,15,175.9272637802,5
"387",5,10,"conf_125",1500,15,0.4409544809,5
"388",5,10,"conf_125",2500,15,6.9e-09,5
"389",5,10,"conf_125",5000,15,8e-10,5
"390",5,10,"conf_125",7500,15,8e-10,5
"391",5,10,"conf_125",250,16,484.9449432903,5
"392",5,10,"conf_125",500,16,23.6746936717,5
"393",5,10,"conf_125",1500,16,0.0267964938,5
"394",5,10,"conf_125",2500,16,8e-10,5
"395",5,10,"conf_125",5000,16,8e-10,5
"396",5,10,"conf_125",7500,16,8e-10,5
"397",5,10,"conf_125",250,17,3001.406046833,5
"398",5,10,"conf_125",500,17,88.6529249521,5
"399",5,10,"conf_125",1500,17,1.2481966184,5
"400",5,10,"conf_125",2500,17,7e-10,5
"401",5,10,"conf_125",5000,17,7e-10,5
"402",5,10,"conf_125",7500,17,7e-10,5
"403",5,10,"conf_125",250,18,6762.6590847382,5
"404",5,10,"conf_125",500,18,883.5020484589,5
"405",5,10,"conf_125",1500,18,10.9135983019,5
"406",5,10,"conf_125",2500,18,3.19e-08,5
"407",5,10,"conf_125",5000,18,2e-10,5
"408",5,10,"conf_125",7500,18,2e-10,5
"409",5,10,"conf_125",250,19,764.5895980767,5
"410",5,10,"conf_125",500,19,503.5829051624,5
"411",5,10,"conf_125",1500,19,5.0365390295,5
"412",5,10,"conf_125",2500,19,8.9e-09,5
"413",5,10,"conf_125",5000,19,1e-09,5
"414",5,10,"conf_125",7500,19,1e-09,5
"415",5,10,"conf_125",250,20,962.1357871462,5
"416",5,10,"conf_125",500,20,403.4445957012,5
"417",5,10,"conf_125",1500,20,0.1317428356,5
"418",5,10,"conf_125",2500,20,8e-10,5
"419",5,10,"conf_125",5000,20,8e-10,5
"420",5,10,"conf_125",7500,20,8e-10,5
