,module,dim,budget,acc,f1,acc_d,f1_d
50,base_sampler,30,9000,0.6698863636363637,0.659921773264293,0.2527462121212121,0.1336485787217196
51,weights_option,30,9000,0.984564393939394,0.9832078688890282,0.253125,0.1340886248519768
52,local_restart,30,9000,0.17604166666666668,0.17946598403004105,0.27755681818181815,0.1443871065595399
53,step_size_adaptation,30,9000,1.0,1.0,0.4076704545454545,0.28879152951975273
54,elitist,30,15000,1.0,1.0,0.44185606060606064,0.3050641069592507
55,mirrored,30,15000,0.7047348484848485,0.6899529948750499,0.25615530303030304,0.13497523253620813
56,base_sampler,30,15000,0.740814393939394,0.7364103013652472,0.2527462121212121,0.1336485787217196
57,weights_option,30,15000,0.990814393939394,0.9896619751692215,0.253125,0.1340886248519768
58,local_restart,30,15000,0.2961174242424242,0.2989014801200156,0.27755681818181815,0.1443871065595399
59,step_size_adaptation,30,15000,0.996875,0.996871945259042,0.4076704545454545,0.28879152951975273
60,elitist,30,30000,1.0,1.0,0.44185606060606064,0.3050641069592507
61,mirrored,30,30000,0.6983901515151516,0.6877926168450332,0.25615530303030304,0.13497523253620813
62,base_sampler,30,30000,0.781060606060606,0.7727002411447156,0.2527462121212121,0.1336485787217196
63,weights_option,30,30000,0.984564393939394,0.984013193445171,0.253125,0.1340886248519768
64,local_restart,30,30000,0.3917613636363636,0.3969393365070813,0.27755681818181815,0.1443871065595399
65,step_size_adaptation,30,30000,0.9939393939393939,0.9937321937321937,0.4076704545454545,0.28879152951975273
66,elitist,30,45000,1.0,1.0,0.44185606060606064,0.3050641069592507
67,mirrored,30,45000,0.6862689393939394,0.6746728900046746,0.25615530303030304,0.13497523253620813
68,base_sampler,30,45000,0.7871212121212121,0.77522694811979,0.2527462121212121,0.1336485787217196
69,weights_option,30,45000,0.978409090909091,0.9763177509522457,0.253125,0.1340886248519768
70,local_restart,30,45000,0.42244318181818186,0.4286185237905299,0.27755681818181815,0.1443871065595399
71,step_size_adaptation,30,45000,1.0,1.0,0.4076704545454545,0.28879152951975273
