,module,dim,budget,acc,f1,acc_d,f1_d
55,mirrored,30,15000,0.5099431818181819,0.503318082041598,0.25615530303030304,0.13497523253620813
56,base_sampler,30,15000,0.6204545454545455,0.6058151785722886,0.2527462121212121,0.1336485787217196
57,weights_option,30,15000,0.6386363636363637,0.6220362772231972,0.253125,0.1340886248519768
58,local_restart,30,15000,0.25284090909090906,0.2427236244527699,0.27755681818181815,0.1443871065595399
59,step_size_adaptation,30,15000,0.8027462121212121,0.7988076078623569,0.4076704545454545,0.28879152951975273
60,elitist,30,30000,0.9352272727272727,0.933681333347297,0.44185606060606064,0.3050641069592507
61,mirrored,30,30000,0.44772727272727275,0.4375482551140991,0.25615530303030304,0.13497523253620813
62,base_sampler,30,30000,0.6297348484848484,0.6158897145514862,0.2527462121212121,0.1336485787217196
63,weights_option,30,30000,0.6981060606060606,0.6842295176406429,0.253125,0.1340886248519768
64,local_restart,30,30000,0.2689393939393939,0.26140282148964344,0.27755681818181815,0.1443871065595399
65,step_size_adaptation,30,30000,0.7964962121212121,0.7909543196459344,0.4076704545454545,0.28879152951975273
66,elitist,30,45000,0.9442234848484847,0.9432658950988657,0.44185606060606064,0.3050641069592507
67,mirrored,30,45000,0.4415719696969697,0.4292753642861329,0.25615530303030304,0.13497523253620813
68,base_sampler,30,45000,0.6510416666666667,0.6263140192197917,0.2527462121212121,0.1336485787217196
69,weights_option,30,45000,0.7222537878787879,0.7078331121468184,0.253125,0.1340886248519768
70,local_restart,30,45000,0.3326704545454545,0.32812543825192453,0.27755681818181815,0.1443871065595399
71,step_size_adaptation,30,45000,0.774810606060606,0.7712399554854212,0.4076704545454545,0.28879152951975273
