,module,dim,budget,acc,f1,acc_d,f1_d
47,adaptation_method,30,1500,0.40980036297640654,0.4012560112882862,0.28109497882637624,0.14605931188836843
48,lpsr,30,1500,0.9879007864488809,0.987830492933427,0.46709013914095576,0.31823716597874796
49,mutation_base,30,3000,0.8957652752571083,0.8934449862782913,0.28466424682395647,0.14757509100407443
50,mutation_reference,30,3000,0.4115547489413188,0.4071885049176429,0.1927707199032063,0.0806344255811107
51,mutation_n_comps,30,3000,0.8332425892316999,0.8320866274160176,0.46173623714458556,0.31556350852707415
52,use_archive,30,3000,0.7326678765880217,0.7265458160279038,0.4304900181488203,0.3004110561476776
53,crossover,30,3000,1.0,1.0,0.42707199032062915,0.29847864469074786
54,adaptation_method,30,3000,0.5278886872353297,0.5231106987034229,0.28109497882637624,0.14605931188836843
55,lpsr,30,3000,0.9844222625529341,0.9842478687068944,0.46709013914095576,0.31823716597874796
56,mutation_base,30,9000,0.8835753176043557,0.8821252938607314,0.28466424682395647,0.14757509100407443
57,mutation_reference,30,9000,0.3264367816091954,0.3280404111319175,0.1927707199032063,0.0806344255811107
58,mutation_n_comps,30,9000,0.7916515426497277,0.7905324011992898,0.46173623714458556,0.31556350852707415
59,use_archive,30,9000,0.6756805807622505,0.6681344888501028,0.4304900181488203,0.3004110561476776
60,crossover,30,9000,0.9912885662431943,0.9911142834780813,0.42707199032062915,0.29847864469074786
61,adaptation_method,30,9000,0.6581972171808832,0.6519491573411664,0.28109497882637624,0.14605931188836843
62,lpsr,30,9000,0.9774652147610405,0.9772977024929966,0.46709013914095576,0.31823716597874796
63,mutation_base,30,15000,0.8714156079854808,0.8663904495718742,0.28466424682395647,0.14757509100407443
64,mutation_reference,30,15000,0.32295825771324865,0.32713235194374124,0.1927707199032063,0.0806344255811107
65,mutation_n_comps,30,15000,0.7915305505142166,0.7899960151770802,0.46173623714458556,0.31556350852707415
66,use_archive,30,15000,0.691167574107683,0.6857433656829116,0.4304900181488203,0.3004110561476776
67,crossover,30,15000,0.9878402903811253,0.9876740319986667,0.42707199032062915,0.29847864469074786
68,adaptation_method,30,15000,0.7515728977616456,0.7477516486929439,0.28109497882637624,0.14605931188836843
69,lpsr,30,15000,0.965275257108288,0.9650755867585579,0.46709013914095576,0.31823716597874796
70,mutation_base,30,30000,0.8507864488808228,0.8465407106605488,0.28466424682395647,0.14757509100407443
71,mutation_reference,30,30000,0.317513611615245,0.32155241421600994,0.1927707199032063,0.0806344255811107
72,mutation_n_comps,30,30000,0.7428917120387174,0.7408057174576281,0.46173623714458556,0.31556350852707415
73,use_archive,30,30000,0.6563218390804597,0.653029292395523,0.4304900181488203,0.3004110561476776
74,crossover,30,30000,0.989534180278282,0.9893114085111406,0.42707199032062915,0.29847864469074786
75,adaptation_method,30,30000,0.8662129461584996,0.8650299455786131,0.28109497882637624,0.14605931188836843
76,lpsr,30,30000,0.9635511191772534,0.9632891211877201,0.46709013914095576,0.31823716597874796
77,mutation_base,30,45000,0.8507259528130671,0.8459789664993993,0.28466424682395647,0.14757509100407443
78,mutation_reference,30,45000,0.3019661222020568,0.31301186587654856,0.1927707199032063,0.0806344255811107
79,mutation_n_comps,30,45000,0.7535087719298245,0.7513780192400643,0.46173623714458556,0.31556350852707415
80,use_archive,30,45000,0.6806110102843316,0.6767772074484387,0.4304900181488203,0.3004110561476776
81,crossover,30,45000,0.9912885662431942,0.9910842695786446,0.42707199032062915,0.29847864469074786
82,adaptation_method,30,45000,0.9061705989110708,0.9046864096920043,0.28109497882637624,0.14605931188836843
83,lpsr,30,45000,0.95480943738657,0.954654081528323,0.46709013914095576,0.31823716597874796
