,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24
314_5000_5,0.00232697358,1730.4298289614803,4.582647121159999,12.17593952528,0.0,1.3462156731600001,0.3542452712,3.03171935234,3.1751145689099998,4220.99813994213,27.99529257861,1194.77330294073,10.295763118530001,0.01597912620999998,5.77343524584,2.13295224706,0.009369358759999998,0.08539341741999999,0.61614671758,1.9043149046,2.14986724331,1.53434307278,1.34659442961,10.2205602161
314_7500_5,0.0008856345799999801,846.62985452508,4.05591863347,7.6297671284,0.0,1.17166222544,0.21407985628,2.89716590522,2.67902054045,975.3918293062801,20.271048015460003,417.84981908862,6.4547822552,0.009011058479999978,4.262294001800001,2.0972127349400003,0.009369358759999998,0.08524642538,0.60867211233,1.7403659876900002,0.6436510211199999,0.55456416782,1.18816506445,10.219501278460001
314_1500_30,60.99456412880001,1365015.8367533872,576.86278932584,863.9560228803,155.66334736244,25536.8493318219,398.33742426374,37971.33998607781,64139.16767839133,1360581.2295807651,349.49251589762,87915576.00936946,1626.53376869994,22.75194027216,533.1428098070601,33.957142112999996,6.68931420282,24.971674682899998,14.920121714699999,21657.04623555672,61.27609288396,66.53158197664,4.277458834239999,576.0736218393
314_3000_30,60.4222920964,1060000.8379895717,530.70709818284,851.8340503561801,155.09752257878,20009.52053331412,346.68606727021995,35979.181442376765,63029.949446494145,1278329.812491209,322.00709984012,84437173.02562766,1622.72467772052,20.26737619326,475.3502849642,33.15752655585,5.69379100666,23.093462794,14.29599312808,18009.73946244461,54.65996666138001,66.53158197664,3.8466383772,523.51734677872
314_9000_30,56.27054095791,789206.8995425778,482.52066009568006,804.2079816795001,150.65165453594997,10002.40691448882,290.36437819402,30952.428372072412,46760.273694502845,1020983.2018164622,278.21330317106,64144219.88129747,1409.36013060698,17.541103168910002,448.2273441622,29.74416282688,4.852259437180001,19.42142401806,13.03145082859,13053.87860790607,50.568382460920006,57.94720653094,3.73164301515,507.25474076002
314_15000_30,53.71053747076,717153.6675351752,460.54836844191993,763.29074803345,140.34936672262,4255.301374533291,276.79478688435995,26119.27876641483,40920.951646223795,894192.5465663591,272.81978908194003,59058201.19275667,1256.87911176473,16.342987161990003,420.68256011962,28.703362462500003,4.33609835434,16.55360852882,12.29661219709,10934.164796081379,47.8730899218,52.785402989240005,3.43243882429,495.27326130445
314_30000_30,47.81966198341,677433.2521424383,420.39015828499004,714.0768141086701,131.43294205053,2297.66838429221,245.58681255331004,20677.731586755468,32751.585003798515,741946.797206918,235.12049265289002,46723163.432745695,1200.6152607500499,13.93927070034,402.94747643005,27.333814049030003,3.91703596164,14.93849226656,11.57801763908,9750.14150005088,42.74807031358,47.55185128410999,3.1243141988300005,475.13573178713006
314_45000_30,43.60005318968,622175.9006927776,411.73157712696,688.2989892375,128.56470398584,1674.81023998917,228.94962993151998,18773.365060876,29425.75885679662,624480.8548270015,225.25168042371996,45120148.83146583,1154.83649362462,13.24392261795,388.40797328727,25.8456702542,3.73889626956,14.33255566846,11.21787522205,8944.66899431926,39.463067405589996,43.304311966440004,2.95523617829,465.63348937522005
315_250_5,0.11539179766,6986.61155679612,20.615195900739998,22.74823523446,3.3948723661800004,23.095218375600002,1.8895259413599998,8.89537306268,9.018220408080001,23078.55706471238,53.91469185645999,59668.950559384284,33.61785542164,0.12500382266,15.74754455394,5.644152676,0.9006363872600002,4.1570269401,2.27228961754,2.47093555748,2.2025044013399997,6.1557184334,2.625062334,21.68916349134
315_500_5,0.00152976008,5577.53678289056,8.17301266662,8.46002034996,1.294527408,7.897911799880001,1.08674012901,3.72731545248,3.91457100654,19445.8525009421,29.331735478320002,331.90716827062,5.85199106594,0.00946279026,6.83757916086,4.09928364916,0.53520360516,1.8834424366199998,0.81625371644,2.21793060828,2.02389329804,5.84021785118,1.45762365574,15.11255753542
315_1500_5,0.00026010641999999997,1967.3881548091401,7.781195179460001,7.851640572620001,0.00124343826,4.2040114328,0.92739561886,2.76143848168,3.3158586171400004,3780.38740805032,29.30066351748,20.9956053844,1.8043506746799998,0.005657397100000001,5.78316776842,3.49198543966,0.5207406738,1.7247611079000003,0.70632952464,2.1926270578000002,2.0228952768,4.800069290440001,1.38277675494,10.94981496922
315_2500_5,0.0001722071,220.61001093171998,7.7740836602200005,7.850941433059999,0.00124343826,4.20183594354,0.7738599123400001,2.2443332864800003,2.63144476942,3009.9772157209,27.69513276976,17.12154110716,1.7747308304799998,0.00488362056,5.772034475780001,3.49137293788,0.5206711632800001,1.7240885087,0.66619956454,2.1912977868000003,2.0228683160200003,4.79727527252,1.3827625298400001,10.86442198932
315_5000_5,0.00015385622,119.48507292631999,7.772787650379999,7.8490581807,6.86368e-05,3.4359732014400004,0.40005529978,1.9684578143600002,1.8123686208199998,590.6322846513,17.823113651630003,8.35353578242,1.7632409659200001,0.0016569936800000002,5.771383704920001,2.56322735328,0.5203189920600001,0.36255647595000007,0.26508103586000004,2.1912334578,2.02286458236,3.07292748837,0.70328005272,10.85738306074
315_7500_5,1.938187e-05,74.9106738511,5.18821987504,7.82610617392,0.0,1.31134543217,0.34118854974999996,1.4690286399199999,1.4948172434,226.29705295948003,12.37243890659,2.24844210471,1.32573006936,0.0016330867200000001,4.147240673680001,0.9448243241200001,0.07607091846999998,0.23372395513999997,0.20330769770000004,2.04087965972,1.66241796504,3.05844439826,0.47852345082000003,9.74622490252
315_1500_30,1.82261080954,319894.037246473,146.16554062918001,273.81151575591997,116.26686943648,145.0754316051,69.17762259082,250.03489718302004,502.58194876994,181191.72160554418,324.79365849538,1829474.4530372221,300.90495994388004,1.3240364648799998,163.19120895765997,5.658490969960001,2.25838157548,7.79323471396,4.26834422942,2.8901480118799996,12.27959251602,15.986537479979997,0.8714160063199999,185.7917538835
315_3000_30,0.03326453746,177918.4527802486,101.66685827104,234.47704024726,84.97669376956,46.106440220539994,52.26009842239,56.4091104741,241.03563282588,105329.44767058874,324.76512672998,17459.31452797776,50.37571058366,0.05046574928000001,96.3404307651,4.9573884883799995,2.0690890135,6.851035441800001,3.2306751735,2.02791380134,11.532792788079998,14.14436327304,0.6791771736400001,131.92552805756
315_9000_30,1.888e-08,51993.44396847586,95.83582647025999,220.04329394756002,78.19258161342,5.38880117644,35.98542057574,39.23579116112,124.38419107728001,38322.70269308518,324.45707673294,10.130613918360002,2.51373370462,0.00508556622,85.44678465884,4.93692211894,2.0192154066,6.657760061500001,2.9061721455200002,1.8508321069799998,11.52289530198,14.11703859856,0.5132904505,113.26511122510001
315_15000_30,9.6e-10,31728.08273334226,95.57317056491999,218.94048938058,76.81945374476,2.79119466354,32.6310687095,38.59528198432,48.585293662519994,23314.037905730744,324.10457851086,10.110287719239999,2.2901979496,0.00285670522,85.20669357404,4.93556662622,1.9950188396200002,6.605399209540001,2.8002751706,1.8446403035799999,11.52289529352,14.117038530779999,0.37645825696,112.24525093546
315_30000_30,9.6e-10,19049.669249989158,95.5195470657,218.49875940401998,73.49103049232,1.46472914678,27.94894968488,37.57100020418,47.439718851980004,15037.36616147406,323.42008782296,10.10989912556,2.27683282922,0.0015808130199999998,85.16851016334,4.9353460971,1.85449084892,6.528567600049999,2.72346309812,1.8388436456999997,2.0347675458400003,9.92181411329,0.28483791588999996,112.05668966703999
315_45000_30,9.6e-10,17439.973203292542,95.51819440608001,218.43284692658,59.57007638036,1.4066247503799998,26.172255425769997,37.2973727109,47.1884507497,12520.944359430741,323.03510696756,10.109731697439999,2.27657153312,0.0013328582799999999,85.16829323507999,4.93531755644,1.7772685985199999,6.521180712409999,2.70662454048,1.8369007615599997,2.02578948528,9.542084311490001,0.26351262616,112.04668363447999
316_250_5,0.3109658272,15168.143588264382,17.61033659136,44.44180841294,3.9451589669600002,13.597425658059999,2.17489698666,25.97860690756,20.347744143779998,17920.32623109172,210.19345454074,129946.29350377289,77.98333429928,0.29983744376,20.18044039236,10.5986555144,0.9209023789200002,3.4749282891,1.7270900057799998,2.90190953722,3.93693767456,2.8037867581,2.72036113216,22.69548344854
316_500_5,0.015925071719999996,6993.577295210201,9.81407593718,27.788282522000003,3.6180777419799997,6.208285365500001,1.2088573567199998,4.64190971854,5.4717168782200005,13036.302370032357,81.40227619238001,26756.92081461114,44.81375385788,0.08139871380000001,13.606635907960001,6.46253742222,0.26640780702,1.38004937668,1.25275440836,2.3841490388,3.40269054218,2.5555072960800005,2.25045040042,17.4665016176
316_1500_5,0.0034279275400000003,5123.611760328761,4.95248920816,14.771368106199997,3.6032930222800004,1.78251055576,0.55679899278,3.0347167217399997,3.33579696974,9025.7556966026,42.51881103086,5081.705998261879,17.89254167216,0.04577254709999999,7.276300974259999,3.4381046193800002,0.01827702338,0.27102204614,0.72857628976,2.0228041997000004,3.2989392233799997,2.5434201523999995,1.8606904813,12.2103519046
316_2500_5,0.0034279275400000003,5028.05549278791,4.5911749006400004,12.182844211139999,0.56546052928,1.3513766282400002,0.55679899278,3.03171935234,3.33579696974,8044.961675182771,37.728211783240006,2752.7514903885794,16.47966601476,0.04018043336,5.9502170655399995,2.69598238078,0.00994954828,0.11117578264000001,0.64402681254,1.9762694198400002,3.2989392233799997,2.5434201523999995,1.7941571561099998,11.429684388519998
316_5000_5,0.00336888724,2594.1536286851597,4.582647121159999,12.17593952528,0.0,1.3462156731600001,0.48181048222999995,3.03171935234,3.29137256302,5875.264231901139,32.97538310473,2345.5485201306396,9.448272166650002,0.03131725165,5.653157806449999,2.08737651609,0.009369358759999998,0.08539341741999999,0.61614671758,1.900135182,1.3692149601399999,1.4915055343499999,1.46137677177,10.2205602161
316_7500_5,0.00128324438999998,1210.3848327231299,3.4242207516099996,8.944041334320001,0.0,1.24926945673,0.4261013987099999,2.7813621037800003,2.83099987164,2039.40188882163,25.92577008796,1013.5803406004801,7.05697126673,0.01036505621999998,4.34739498253,1.94100586056,0.009369358759999998,0.08524642538,0.6091181977599999,1.8806092875,1.0243738729100003,0.7638579990000001,1.2755974709699998,10.219501278460001
316_1500_30,60.99456412880001,1365015.8367533872,576.86278932584,863.9560228803,155.66334736244,25536.8493318219,398.33742426374,37971.33998607781,64139.16767839133,1360581.2295807651,349.49251589762,87915576.00936946,1626.53376869994,22.75194027216,533.1428098070601,33.957142112999996,6.68931420282,24.971674682899998,14.920121714699999,21657.04623555672,61.27609288396,66.53158197664,4.277458834239999,576.0736218393
316_3000_30,60.4222920964,1060000.8379895717,530.70709818284,851.8340503561801,155.09752257878,20009.52053331412,346.68606727021995,35979.181442376765,39345.0215972383,1278329.812491209,313.83254747021,85571336.14599755,1622.72467772052,20.26737619326,475.3502849642,33.20040540488,5.69379100666,23.093462794,12.96148105986,18137.7590260371,54.65996666138001,66.53158197664,3.8466383772,514.42744867163
316_9000_30,58.8111366781,799746.035453783,487.8495366937201,763.93342008694,147.98206597146,8320.386947147561,312.47698341873,22758.07651963705,36325.14289058249,1087420.2959602943,279.14026851361,68605178.55221835,1453.23319062978,17.9765563069,449.5283760684,30.20373104909,4.56085588124,18.7253155799,12.22835202509,14355.015225332789,53.07300207264001,60.035180359579996,3.63503561683,504.45542369832003
316_15000_30,55.83933212104,726706.8944789411,461.91913541964004,736.3069719973,145.89699541404997,4809.41990997496,294.03478491325995,19647.478016580473,23878.456532409025,984866.1189829316,273.43896465156,60117999.55268192,1326.5570966291402,15.87427585684,429.02050535983,29.25764956528,4.478535539080001,17.30053493508,10.96121089147,12022.48604275203,49.84249434616,57.19137658204001,3.32324804893,472.50693440150997
316_30000_30,46.625985430830006,681792.0297569127,411.00780041788005,684.81138067393,132.93722743612,3328.7233759592805,260.80187393991,12245.7666979581,21607.571077403798,833744.6067711192,237.14907471882998,52795094.71547789,1158.5756598736702,13.75205838578,392.82532413738,27.79429225151,3.8918857300200003,14.57093015914,10.06158858146,9484.21900606304,45.24184900503,50.33850967358,3.20221224318,430.27264650956994
316_45000_30,42.18640447164999,645708.2957281357,390.67756176139,660.02032955296,126.49002438305999,2667.2539904390806,247.19737970919,10594.26493437267,18937.584246345843,830894.1941086545,223.64195159223,49545526.823843025,1125.80886487016,12.717426338790002,384.07541869482,26.639763793929994,3.68070276097,14.099308782370002,9.111543180850001,7142.661263745101,44.26504219883,48.46269106686,3.0037510863800003,302.90252809849
317_250_5,0.11539179766,6986.61155679612,20.615195900739998,22.74823523446,3.3948723661800004,23.095218375600002,1.8895259413599998,8.89537306268,9.018220408080001,23078.55706471238,53.91469185645999,59668.950559384284,33.61785542164,0.12500382266,15.74754455394,5.644152676,0.9006363872600002,4.1570269401,2.27228961754,2.47093555748,2.2025044013399997,6.1557184334,2.625062334,21.68916349134
317_500_5,0.00152976008,5577.53678289056,8.17301266662,8.46002034996,1.294527408,7.897911799880001,1.07027380525,3.72731545248,3.91457100654,19445.8525009421,29.331735478320002,331.90716827062,5.85199106594,0.00946279026,6.83757916086,4.09928364916,0.53520360516,1.8834424366199998,0.81625371644,2.21793060828,2.02389329804,5.84021785118,1.45762365574,15.11255753542
317_1500_5,0.00026010641999999997,1967.3881548091401,7.781195179460001,7.851640572620001,0.00124343826,4.2040114328,0.68642577789,2.76143848168,3.3158586171400004,3780.38740805032,29.30066351748,20.9956053844,1.8043506746799998,0.005657397100000001,5.78316776842,3.49198543966,0.5207406738,1.7247611079000003,0.70632952464,2.1926270578000002,2.0228952768,4.800069290440001,1.38277675494,10.94981496922
317_2500_5,0.0001722071,220.61001093171998,7.7740836602200005,7.850941433059999,0.00124343826,4.20183594354,0.53114991633,2.2443332864800003,2.63144476942,3009.9772157209,27.69513276976,17.12154110716,1.7747308304799998,0.00488362056,5.772034475780001,3.49137293788,0.5206711632800001,1.7240885087,0.66619956454,2.1912977868000003,2.0228683160200003,4.79727527252,1.3827625298400001,10.86442198932
317_5000_5,0.00015385622,119.48507292631999,7.772787650379999,7.8490581807,6.86368e-05,3.9971452079500005,0.4395929045499999,1.9684578143600002,1.8123686208199998,1571.0972806798202,15.612033753290001,8.35353578242,1.7632409659200001,0.0016569936800000002,5.771383704920001,3.1565847246399996,0.5203189920600001,0.25208633803999997,0.26508103586000004,2.1912334578,2.02286458236,3.20584936379,0.66883765299,10.85738306074
317_7500_5,5.211089999999999e-06,74.9106738511,5.18804591032,7.848978629079999,0.0,0.58247485196,0.43526406587000005,1.5347076884000002,1.3724138419699998,909.87304887695,12.73144261743,2.0784304038199997,1.26380697768,0.0015119303399999998,2.88598971041,0.9557019618599998,0.02975732566,0.15455017023999998,0.19464150689999996,2.1664827310599994,1.33627398093,3.09289808268,0.49488658482000003,8.79586915891
317_1500_30,1.82261080954,319894.037246473,146.16554062918001,273.81151575591997,116.26686943648,145.0754316051,69.17762259082,250.03489718302004,502.58194876994,181191.72160554418,324.79365849538,1829474.4530372221,300.90495994388004,1.3240364648799998,163.19120895765997,5.658490969960001,2.25838157548,7.79323471396,4.26834422942,2.8901480118799996,12.27959251602,15.986537479979997,0.8714160063199999,185.7917538835
317_3000_30,0.03326453746,177918.4527802486,101.66685827104,234.47704024726,84.97669376956,46.106440220539994,52.12874366466999,56.4091104741,241.03563282588,105329.44767058874,324.76512672998,17459.31452797776,50.37571058366,0.05046574928000001,96.3404307651,4.9573884883799995,2.0690890135,6.851035441800001,3.2306751735,2.02791380134,11.532792788079998,14.14436327304,0.6791771736400001,131.92552805756
317_9000_30,1.888e-08,51993.44396847586,95.83582647025999,220.04329394756002,78.19258161342,5.38880117644,26.30317845068,39.23579116112,124.38419107728001,38322.70269308518,324.45707673294,10.130613918360002,2.51373370462,0.00508556622,85.44678465884,4.93692211894,1.7677617406100001,6.44142966804,2.9061721455200002,1.8508321069799998,11.52289530198,14.11703859856,0.5122658611800001,113.26511122510001
317_15000_30,9.6e-10,31728.08273334226,95.57317056491999,218.94048938058,76.81945374476,2.79119466354,16.536856019360002,38.59528198432,48.585293662519994,23314.037905730744,324.10457851086,10.110287719239999,2.2901979496,0.00285670522,85.20669357404,4.93556662622,1.6828162306299999,6.25023510567,2.8002751706,1.8446403035799999,11.52289529352,14.117038530779999,0.26506380680999997,112.24525093546
317_30000_30,9.6e-10,19049.669249989158,95.5195470657,218.49875940401998,71.06142452369,1.46472914678,10.683818771470001,37.57100020418,47.439718851980004,15037.36616147406,323.42008782296,10.10989912556,2.27683282922,0.0015808130199999998,85.16851016334,4.9353460971,1.64057261285,6.03207332863,2.72346309812,1.8388436456999997,1.78509958887,6.18136938356,0.1396225851,112.05668966703999
317_45000_30,9.6e-10,17439.973203292542,95.51819440608001,218.43284692658,52.735903658000005,1.4066247503799998,8.272081779679999,37.2973727109,47.1884507497,12520.944359430741,323.03510696756,10.109731697439999,2.27657153312,0.0013328582799999999,85.16829323507999,4.93531755644,1.63530361792,6.01441171511,2.70662454048,1.8369007615599997,1.7119567231700004,5.44360540825,0.10702522998,112.04668363447999
318_250_5,0.02562074104,5160.699031291099,22.3273935596,26.25226630518,2.31309235502,3.79012024862,1.04575147134,6.82523361746,3.53985532768,5423.85351198396,55.911854647220004,15980.0976727025,29.259006431379998,0.05299023508,18.39651183346,10.05877141346,0.46454772491999996,1.6427259019399998,1.6412757592400002,2.51739938962,3.56263172534,2.74799491334,3.11607584374,21.72622140252
318_500_5,5.5587820000000005e-05,844.5997043048599,8.287249810119999,12.519272868140002,0.67242437888,0.22336436637999996,0.24269176332,2.7215361016,2.2890612791200002,893.1521092425999,36.86009056466,36.969021023239996,6.136830519199999,0.00612060024,7.76696879502,4.04344895666,0.04605851398,0.42399244625999993,1.33993456002,2.0090145981200003,3.4901067872999993,2.6403437563,2.4541474699199997,20.195322843299998
318_1500_5,5.4e-10,3.4351341325,3.98072241646,9.153614355200002,0.0,2.5989599999999998e-06,0.22732161337999995,0.08487114758,0.10481532085999998,3.0584440835,14.523077174960003,0.5765669676199999,0.20231266194000003,4.4987620000000004e-05,3.3828597947600003,1.0905073663000002,0.00011340003999999997,0.07368364398,0.9582712012,1.77666422094,3.4899611226999996,2.6401779211200003,1.86248909078,13.843402003120001
318_2500_5,5.4e-10,6.9e-09,3.97983522082,9.153614257200001,0.0,8.399999999999999e-10,0.22732161337999995,2.44e-09,7.380000000000001e-09,1.42352e-06,0.0019473095000000003,0.006658532260000001,0.0017451151000000002,3.2771999999999997e-07,3.38285978656,1.0819657464599999,0.00011008267999999999,0.07295031142,0.6833044472199999,1.77666421294,3.4899611226999996,2.6401779211200003,1.54531119872,11.83844956474
