"","DIM","funcId","ID","runtime","run","f(x)","instance","dim"
"233",5,1,"conf_532",5000,39,0.0028630126,1,5
"234",5,1,"conf_532",7500,39,1.7157e-05,1,5
"235",5,1,"conf_532",250,40,5.9087939285,1,5
"236",5,1,"conf_532",500,40,4.9371235552,1,5
"237",5,1,"conf_532",1500,40,0.6354285709,1,5
"238",5,1,"conf_532",2500,40,0.1193769941,1,5
"239",5,1,"conf_532",5000,40,0.0026800257,1,5
"240",5,1,"conf_532",7500,40,4.09826e-05,1,5
"241",5,1,"conf_532",250,41,2.7797489945,1,5
"242",5,1,"conf_532",500,41,1.1443575764,1,5
"243",5,1,"conf_532",1500,41,0.837348788,1,5
"244",5,1,"conf_532",2500,41,0.1147252021,1,5
"245",5,1,"conf_532",5000,41,0.0007725792,1,5
"246",5,1,"conf_532",7500,41,5.45098e-05,1,5
"247",5,1,"conf_532",250,42,3.0156594765,1,5
"248",5,1,"conf_532",500,42,2.7601399885,1,5
"249",5,1,"conf_532",1500,42,0.4855539266,1,5
"250",5,1,"conf_532",2500,42,0.0366121357,1,5
"251",5,1,"conf_532",5000,42,0.0016655413,1,5
"252",5,1,"conf_532",7500,42,2.34046e-05,1,5
"253",5,1,"conf_532",250,43,2.5701633741,1,5
"254",5,1,"conf_532",500,43,2.4273477237,1,5
"255",5,1,"conf_532",1500,43,0.6080393343,1,5
"256",5,1,"conf_532",2500,43,0.0478090685,1,5
"257",5,1,"conf_532",5000,43,0.0012155377,1,5
"258",5,1,"conf_532",7500,43,6.6892e-06,1,5
"259",5,1,"conf_532",250,44,2.7422389285,1,5
"260",5,1,"conf_532",500,44,2.7422389285,1,5
"261",5,1,"conf_532",1500,44,0.3679524738,1,5
"262",5,1,"conf_532",2500,44,0.0882179033,1,5
"263",5,1,"conf_532",5000,44,0.0007070216,1,5
"264",5,1,"conf_532",7500,44,6.52516e-05,1,5
"265",5,1,"conf_532",250,45,4.3163304541,1,5
"266",5,1,"conf_532",500,45,2.2223802176,1,5
"267",5,1,"conf_532",1500,45,0.6028176987,1,5
"268",5,1,"conf_532",2500,45,0.0946225617,1,5
"269",5,1,"conf_532",5000,45,0.0023107974,1,5
"270",5,1,"conf_532",7500,45,9.55649e-05,1,5
"271",5,1,"conf_532",250,46,5.3922638152,1,5
"272",5,1,"conf_532",500,46,2.5716506015,1,5
"273",5,1,"conf_532",1500,46,0.6351973397,1,5
"274",5,1,"conf_532",2500,46,0.1873326071,1,5
"275",5,1,"conf_532",5000,46,0.002707089,1,5
"276",5,1,"conf_532",7500,46,8.63388e-05,1,5
"277",5,1,"conf_532",250,47,4.6286467449,1,5
"278",5,1,"conf_532",500,47,3.8511312045,1,5
"279",5,1,"conf_532",1500,47,0.4537066055,1,5
"280",5,1,"conf_532",2500,47,0.0890601079,1,5
"281",5,1,"conf_532",5000,47,0.0013118921,1,5
"282",5,1,"conf_532",7500,47,2.10819e-05,1,5
"283",5,1,"conf_532",250,48,4.2152767189,1,5
"284",5,1,"conf_532",500,48,4.2152767189,1,5
"285",5,1,"conf_532",1500,48,0.2863237952,1,5
"286",5,1,"conf_532",2500,48,0.1556926355,1,5
"287",5,1,"conf_532",5000,48,0.0003195667,1,5
"288",5,1,"conf_532",7500,48,5.21548e-05,1,5
"289",5,1,"conf_532",250,49,5.3208917702,1,5
"290",5,1,"conf_532",500,49,2.7038459867,1,5
"291",5,1,"conf_532",1500,49,0.3062255183,1,5
