"","DIM","funcId","ID","runtime","run","f(x)","instance","dim"
"362",30,15,"conf_484",3000,1,347.7039026394,5,30
"363",30,15,"conf_484",9000,1,248.8591905235,5,30
"364",30,15,"conf_484",15000,1,236.2080452298,5,30
"365",30,15,"conf_484",30000,1,200.0219477164,5,30
"366",30,15,"conf_484",45000,1,195.8361424426,5,30
"367",30,15,"conf_484",1500,2,420.5826046399,5,30
"368",30,15,"conf_484",3000,2,364.7434665774,5,30
"369",30,15,"conf_484",9000,2,260.0271432995,5,30
"370",30,15,"conf_484",15000,2,249.2744642911,5,30
"371",30,15,"conf_484",30000,2,233.755071957,5,30
"372",30,15,"conf_484",45000,2,186.4590754502,5,30
"373",30,15,"conf_484",1500,3,516.6488989004,5,30
"374",30,15,"conf_484",3000,3,341.5767615909,5,30
"375",30,15,"conf_484",9000,3,257.2193672351,5,30
"376",30,15,"conf_484",15000,3,250.7017532926,5,30
"377",30,15,"conf_484",30000,3,211.8791364674,5,30
"378",30,15,"conf_484",45000,3,191.3900100904,5,30
"379",30,15,"conf_484",1500,4,516.319966364,5,30
"380",30,15,"conf_484",3000,4,328.0857607673,5,30
"381",30,15,"conf_484",9000,4,268.9264653055,5,30
"382",30,15,"conf_484",15000,4,201.8961653931,5,30
"383",30,15,"conf_484",30000,4,201.8961653931,5,30
"384",30,15,"conf_484",45000,4,201.8961653931,5,30
"385",30,15,"conf_484",1500,5,479.7205783252,5,30
"386",30,15,"conf_484",3000,5,369.3376228961,5,30
"387",30,15,"conf_484",9000,5,286.553296824,5,30
"388",30,15,"conf_484",15000,5,239.1418093456,5,30
"389",30,15,"conf_484",30000,5,203.278384246,5,30
"390",30,15,"conf_484",45000,5,195.6065943949,5,30
"391",30,15,"conf_484",1500,6,554.8465079874,5,30
"392",30,15,"conf_484",3000,6,358.0812451748,5,30
"393",30,15,"conf_484",9000,6,244.9025250984,5,30
"394",30,15,"conf_484",15000,6,236.7632286402,5,30
"395",30,15,"conf_484",30000,6,195.6595756791,5,30
"396",30,15,"conf_484",45000,6,193.3591515884,5,30
"397",30,15,"conf_484",1500,7,465.3487383021,5,30
"398",30,15,"conf_484",3000,7,376.4394845346,5,30
"399",30,15,"conf_484",9000,7,247.626916378,5,30
"400",30,15,"conf_484",15000,7,233.8245800585,5,30
"401",30,15,"conf_484",30000,7,190.4599241537,5,30
"402",30,15,"conf_484",45000,7,187.6412902886,5,30
"403",30,15,"conf_484",1500,8,500.8100236795,5,30
"404",30,15,"conf_484",3000,8,344.1529400926,5,30
"405",30,15,"conf_484",9000,8,255.9077156259,5,30
"406",30,15,"conf_484",15000,8,233.4662790971,5,30
"407",30,15,"conf_484",30000,8,210.3546695347,5,30
"408",30,15,"conf_484",45000,8,165.3602327194,5,30
"409",30,15,"conf_484",1500,9,405.271066085,5,30
"410",30,15,"conf_484",3000,9,320.835272675,5,30
"411",30,15,"conf_484",9000,9,209.5896231123,5,30
"412",30,15,"conf_484",15000,9,209.5896231123,5,30
"413",30,15,"conf_484",30000,9,191.4950423829,5,30
"414",30,15,"conf_484",45000,9,189.3003684086,5,30
"415",30,15,"conf_484",1500,10,507.7311287875,5,30
"416",30,15,"conf_484",3000,10,358.9460218582,5,30
"417",30,15,"conf_484",9000,10,268.95120918,5,30
"418",30,15,"conf_484",15000,10,218.471983564,5,30
"419",30,15,"conf_484",30000,10,211.5908029138,5,30
"420",30,15,"conf_484",45000,10,195.6994673824,5,30
"421",30,16,"conf_484",1500,1,38.4963191112,5,30
"422",30,16,"conf_484",3000,1,32.2196674885,5,30
"423",30,16,"conf_484",9000,1,25.8185821933,5,30
"424",30,16,"conf_484",15000,1,25.8185821933,5,30
"425",30,16,"conf_484",30000,1,22.6349652341,5,30
"426",30,16,"conf_484",45000,1,19.0264732074,5,30
"427",30,16,"conf_484",1500,2,38.2536855517,5,30
"428",30,16,"conf_484",3000,2,31.3064609497,5,30
"429",30,16,"conf_484",9000,2,31.3064609497,5,30
"430",30,16,"conf_484",15000,2,25.3021509976,5,30
"431",30,16,"conf_484",30000,2,22.1817029407,5,30
"432",30,16,"conf_484",45000,2,22.0986353911,5,30
"433",30,16,"conf_484",1500,3,38.3138732484,5,30
"434",30,16,"conf_484",3000,3,31.331420199,5,30
"435",30,16,"conf_484",9000,3,28.1016673727,5,30
"436",30,16,"conf_484",15000,3,26.5687166458,5,30
"437",30,16,"conf_484",30000,3,22.2267133432,5,30
"438",30,16,"conf_484",45000,3,19.4014101803,5,30
"439",30,16,"conf_484",1500,4,35.3896919152,5,30
"440",30,16,"conf_484",3000,4,32.5684171726,5,30
"441",30,16,"conf_484",9000,4,26.4732711469,5,30
"442",30,16,"conf_484",15000,4,25.7506411947,5,30
"443",30,16,"conf_484",30000,4,25.2540980671,5,30
"444",30,16,"conf_484",45000,4,23.6790156564,5,30
"445",30,16,"conf_484",1500,5,30.7305716542,5,30
"446",30,16,"conf_484",3000,5,29.9915960643,5,30
"447",30,16,"conf_484",9000,5,26.9450244745,5,30
"448",30,16,"conf_484",15000,5,25.6742059835,5,30
"449",30,16,"conf_484",30000,5,21.8822173273,5,30
"450",30,16,"conf_484",45000,5,19.2765822873,5,30
"451",30,16,"conf_484",1500,6,33.418629614,5,30
"452",30,16,"conf_484",3000,6,23.0411731649,5,30
"453",30,16,"conf_484",9000,6,23.0411731649,5,30
"454",30,16,"conf_484",15000,6,23.0411731649,5,30
"455",30,16,"conf_484",30000,6,23.0411731649,5,30
"456",30,16,"conf_484",45000,6,22.1860438559,5,30
"457",30,16,"conf_484",1500,7,30.2998522667,5,30
"458",30,16,"conf_484",3000,7,25.7343139473,5,30
"459",30,16,"conf_484",9000,7,21.5486407638,5,30
"460",30,16,"conf_484",15000,7,21.5486407638,5,30
"461",30,16,"conf_484",30000,7,21.5486407638,5,30
"462",30,16,"conf_484",45000,7,21.5486407638,5,30
"463",30,16,"conf_484",1500,8,35.3473575816,5,30
"464",30,16,"conf_484",3000,8,29.5017758088,5,30
"465",30,16,"conf_484",9000,8,25.9270102494,5,30
"466",30,16,"conf_484",15000,8,25.8111675673,5,30
"467",30,16,"conf_484",30000,8,20.0224768551,5,30
"468",30,16,"conf_484",45000,8,19.0765411576,5,30
"469",30,16,"conf_484",1500,9,32.1407924571,5,30
"470",30,16,"conf_484",3000,9,29.0456342901,5,30
"471",30,16,"conf_484",9000,9,25.2208214087,5,30
"472",30,16,"conf_484",15000,9,25.2208214087,5,30
"473",30,16,"conf_484",30000,9,22.8243252129,5,30
"474",30,16,"conf_484",45000,9,22.0017311939,5,30
"475",30,16,"conf_484",1500,10,32.3844018655,5,30
"476",30,16,"conf_484",3000,10,29.3006416008,5,30
"477",30,16,"conf_484",9000,10,29.3006416008,5,30
"478",30,16,"conf_484",15000,10,24.9979229771,5,30
"479",30,16,"conf_484",30000,10,24.9979229771,5,30
"480",30,16,"conf_484",45000,10,24.9979229771,5,30
"481",30,17,"conf_484",1500,1,9.2324381684,5,30
"482",30,17,"conf_484",3000,1,3.879132303,5,30
"483",30,17,"conf_484",9000,1,2.1057048014,5,30
"484",30,17,"conf_484",15000,1,1.1225400081,5,30
